step,loss
24900,0.00899958
25000,0.0110312
25100,0.0103565
25200,0.0116128
25300,0.0114792
25400,0.0107311
25500,0.0166006
25600,0.01602
25700,0.00874988
25800,0.0105259
25900,0.00805875
26000,0.00872716
26100,0.00973215
26200,0.00875848
26300,0.00862364
26400,0.0113958
26500,0.0105596
26600,0.0108805
26700,0.0104304
26800,0.00899174
26900,0.0100382
27000,0.00776922
27100,0.0195429
27200,0.0116825
27300,0.0103713
27400,0.0087495
27500,0.00873198
27600,0.00720635
27700,0.00896681
27800,0.00728571
27900,0.00777207
28000,0.00716992
28100,0.00812513
28200,0.00876769
28300,0.00766829
28400,0.0139622
28500,0.0100569
28600,0.0117391
28700,0.00925675
28800,0.0101908
28900,0.00949972
29000,0.0144835
29100,0.00916189
29200,0.0081214
29300,0.013714
29400,0.0073159
29500,0.0081031
29600,0.00853482
29700,0.0115933
29800,0.00754667
29900,0.00738172
30000,0.00863491
30100,0.00677706
30200,0.00985333
30300,0.00832106
30400,0.00893621
30500,0.00658646
30600,0.0080933
30700,0.0125589
30800,0.00823275
30900,0.00872381
31000,0.00752179
31100,0.00765561
31200,0.00759672
31300,0.00873956
31400,0.00793128
31500,0.0077673
31600,0.00920034
31700,0.00990075
31800,0.00964904
31900,0.00813493
32000,0.0100659
32100,0.00857039
32200,0.00872426
32300,0.00890625
32400,0.00852947
32500,0.00980923
32600,0.00737398
32700,0.00853315
32800,0.00728765
32900,0.00688218
33000,0.00966221
33100,0.00649098
33200,0.00611851
33300,0.00597858
33400,0.00654137
33500,0.00657052
33600,0.00707744
33700,0.00751923
33800,0.0076676
33900,0.0069155
34000,0.00629466
34100,0.00635518
34200,0.00630761
34300,0.00833639
34400,0.00859302
34500,0.0066394
34600,0.00592753
34700,0.00736102
34800,0.00831805
34900,0.0080644
35000,0.00799319
35100,0.00683465
35200,0.0069003
35300,0.00674438
35400,0.00691932
35500,0.00566871
35600,0.00594789
35700,0.00682124
35800,0.00744834
35900,0.00710431
36000,0.00791372
36100,0.00689791
36200,0.00771142
36300,0.00621126
36400,0.00619234
36500,0.00887678
36600,0.00802303
36700,0.00801254
36800,0.00788948
36900,0.00667753
37000,0.00798737
37100,0.00656615
37200,0.00842885
37300,0.00789434
37400,0.00638143
37500,0.00861308
37600,0.00695749
37700,0.00636243
37800,0.00633066
37900,0.00623468
38000,0.00751822
38100,0.00787654
38200,0.00678621
38300,0.00724393
38400,0.00686901
38500,0.0072616
38600,0.00706151
38700,0.00660478
38800,0.00934191
38900,0.00813836
39000,0.00744943
39100,0.00979911
39200,0.00671409
39300,0.00695698
39400,0.00738091
39500,0.00793784
39600,0.00973006
39700,0.00579392
39800,0.00613831
39900,0.00830529
40000,0.00768307
40100,0.00698896
40200,0.00644343
40300,0.00687964
40400,0.00649918
40500,0.00499678
40600,0.00935001
40700,0.00802872
40800,0.00614567
40900,0.00759121
41000,0.0057953
41100,0.00567442
41200,0.00672102
41300,0.00623232
41400,0.00551253
41500,0.00626179
41600,0.00643119
41700,0.00614095
41800,0.00635637
41900,0.00894221
42000,0.00759197
42100,0.00605078
42200,0.00772141
42300,0.00881871
42400,0.00776433
42500,0.00829525
42600,0.00751495
42700,0.00727465
42800,0.00657685
42900,0.00579434
43000,0.00530488
43100,0.00649721
43200,0.00644663
43300,0.0058714
43400,0.00554034
43500,0.00609755
43600,0.00631907
43700,0.00762948
43800,0.00752641
43900,0.00732418
44000,0.00596117
44100,0.00637805
44200,0.00732007
44300,0.00914083
44400,0.0065846
44500,0.00545504
44600,0.00710876
44700,0.00644641
44800,0.00595892
44900,0.00665309
45000,0.0101471
45100,0.00626007
45200,0.00705072
45300,0.00570111
45400,0.00631742
45500,0.00604957
45600,0.00567051
45700,0.00789946
45800,0.00567608
45900,0.0135408
46000,0.0110099
46100,0.00623726
46200,0.00566685
46300,0.0059208
46400,0.00533436
46500,0.00476878
46600,0.00517676
46700,0.00601612
46800,0.00582537
46900,0.00989689
47000,0.00590171
47100,0.00636318
47200,0.00682659
47300,0.00639671
47400,0.00611948
47500,0.00475732
47600,0.0104068
47700,0.00732127
47800,0.00563103
47900,0.00551369
48000,0.00585906
48100,0.00543198
48200,0.00636642
48300,0.00496595
48400,0.00497322
48500,0.0053839
48600,0.00543499
48700,0.00461039
48800,0.0053937
48900,0.00601743
49000,0.00654936
49100,0.00701029
49200,0.00594094
49300,0.00582747
49400,0.0076564
49500,0.00780265
49600,0.00690943
49700,0.00609127
49800,0.00566504
49900,0.00551086
50000,0.00475018
50100,0.00532963
50200,0.00598014
50300,0.0046414
50400,0.00479112
50500,0.00469943
50600,0.00611101
50700,0.00551594
50800,0.00707014
50900,0.00491777
51000,0.00583075
51100,0.00584637
51200,0.00634194
51300,0.00488662
51400,0.0114251
51500,0.00631738
